name;ts;value
mineralwasser;1563750480.0;1.0
mineralwasser;1563761280.0;1.0
mineralwasser;1563772080.0;1.0
mineralwasser;1563782880.0;1.0
mineralwasser;1563793680.0;1.0
mineralwasser;1563804480.0;1.0
mineralwasser;1563815280.0;1.0
mineralwasser;1563826080.0;1.0
mineralwasser;1563836880.0;1.0
mineralwasser;1563847680.0;1.0
mineralwasser;1563858480.0;1.0
mineralwasser;1563869280.0;1.0
mineralwasser;1563880080.0;1.0
mineralwasser;1563890880.0;1.0
mineralwasser;1563901680.0;1.0
mineralwasser;1563912480.0;1.0
mineralwasser;1563923280.0;1.0
mineralwasser;1563934080.0;1.0
mineralwasser;1563944880.0;1.0
mineralwasser;1563955680.0;1.0
mineralwasser;1563966480.0;4.0
mineralwasser;1563977280.0;4.0
mineralwasser;1563988080.0;4.0
mineralwasser;1563998880.0;4.0
mineralwasser;1564009680.0;4.0
mineralwasser;1564020480.0;4.0
mineralwasser;1564031280.0;4.0
mineralwasser;1564042080.0;4.0
mineralwasser;1564052880.0;4.0
mineralwasser;1564063680.0;4.0
mineralwasser;1564074480.0;4.0
mineralwasser;1564085280.0;2.0
mineralwasser;1564096080.0;2.0
mineralwasser;1564106880.0;2.0
mineralwasser;1564117680.0;2.0
mineralwasser;1564128480.0;2.0
mineralwasser;1564139280.0;2.0
mineralwasser;1564150080.0;2.0
mineralwasser;1564160880.0;2.0
mineralwasser;1564171680.0;2.0
mineralwasser;1564182480.0;2.0
mineralwasser;1564193280.0;2.0
mineralwasser;1564204080.0;2.0
mineralwasser;1564214880.0;2.0
mineralwasser;1564225680.0;2.0
mineralwasser;1564236480.0;2.0
mineralwasser;1564247280.0;2.0
mineralwasser;1564258080.0;2.0
mineralwasser;1564268880.0;2.0
mineralwasser;1564279680.0;2.0
mineralwasser;1564290480.0;2.0
mineralwasser;1564301280.0;2.0
mineralwasser;1564312080.0;2.0
mineralwasser;1564322880.0;2.0
mineralwasser;1564333680.0;2.0
mineralwasser;1564344480.0;2.0
mineralwasser;1564355280.0;2.0
mineralwasser;1564366080.0;2.0
mineralwasser;1564376880.0;2.0
mineralwasser;1564387680.0;2.0
mineralwasser;1564398480.0;2.0
mineralwasser;1564409280.0;2.0
mineralwasser;1564420080.0;2.0
mineralwasser;1564430880.0;2.0
mineralwasser;1564441680.0;2.0
mineralwasser;1564452480.0;2.0
mineralwasser;1564463280.0;2.0
mineralwasser;1564474080.0;2.0
mineralwasser;1564484880.0;2.0
mineralwasser;1564495680.0;2.0
mineralwasser;1564506480.0;2.0
mineralwasser;1564517280.0;2.0
mineralwasser;1564528080.0;2.0
mineralwasser;1564538880.0;2.0
mineralwasser;1564549680.0;2.0
mineralwasser;1564560480.0;2.0
mineralwasser;1564571280.0;2.0
mineralwasser;1564582080.0;2.0
mineralwasser;1564592880.0;2.0
mineralwasser;1564603680.0;2.0
mineralwasser;1564614480.0;2.0
mineralwasser;1564625280.0;2.0
mineralwasser;1564636080.0;2.0
mineralwasser;1564646880.0;2.0
mineralwasser;1564657680.0;2.0
mineralwasser;1564668480.0;2.0
mineralwasser;1564679280.0;2.0
mineralwasser;1564690080.0;2.0
mineralwasser;1564700880.0;2.0
mineralwasser;1564711680.0;2.0
mineralwasser;1564722480.0;2.0
mineralwasser;1564733280.0;2.0
mineralwasser;1564744080.0;2.0
mineralwasser;1564754880.0;2.0
mineralwasser;1564765680.0;2.0
mineralwasser;1564776480.0;2.0
mineralwasser;1564787280.0;2.0
mineralwasser;1564798080.0;2.0
mineralwasser;1564808880.0;2.0
mineralwasser;1564819680.0;2.0
mineralwasser;1564830480.0;2.0
mineralwasser;1564841280.0;2.0
mineralwasser;1564852080.0;2.0
mineralwasser;1564862880.0;2.0
mineralwasser;1564873680.0;2.0
mineralwasser;1564884480.0;2.0
mineralwasser;1564895280.0;2.0
mineralwasser;1564906080.0;2.0
mineralwasser;1564916880.0;2.0
mineralwasser;1564927680.0;2.0
mineralwasser;1564938480.0;2.0
mineralwasser;1564949280.0;2.0
mineralwasser;1564960080.0;2.0
mineralwasser;1564970880.0;2.0
mineralwasser;1564981680.0;2.0
mineralwasser;1564992480.0;2.0
mineralwasser;1565003280.0;2.0
mineralwasser;1565014080.0;2.0
mineralwasser;1565024880.0;2.0
mineralwasser;1565035680.0;2.0
mineralwasser;1565046480.0;2.0
mineralwasser;1565057280.0;2.0
mineralwasser;1565068080.0;2.0
mineralwasser;1565078880.0;2.0
mineralwasser;1565089680.0;2.0
mineralwasser;1565100480.0;2.0
mineralwasser;1565111280.0;1.0
mineralwasser;1565122080.0;1.0
mineralwasser;1565132880.0;1.0
mineralwasser;1565143680.0;1.0
mineralwasser;1565154480.0;1.0
mineralwasser;1565165280.0;1.0
mineralwasser;1565176080.0;1.0
mineralwasser;1565186880.0;1.0
mineralwasser;1565197680.0;1.0
mineralwasser;1565208480.0;1.0
mineralwasser;1565219280.0;1.0
mineralwasser;1565230080.0;1.0
mineralwasser;1565240880.0;1.0
mineralwasser;1565251680.0;1.0
mineralwasser;1565262480.0;1.0
mineralwasser;1565273280.0;1.0
mineralwasser;1565284080.0;1.0
mineralwasser;1565294880.0;1.0
mineralwasser;1565305680.0;1.0
mineralwasser;1565316480.0;1.0
mineralwasser;1565327280.0;1.0
mineralwasser;1565338080.0;1.0
mineralwasser;1565348880.0;1.0
mineralwasser;1565359680.0;1.0
mineralwasser;1565370480.0;1.0
mineralwasser;1565381280.0;1.0
mineralwasser;1565392080.0;1.0
mineralwasser;1565402880.0;1.0
mineralwasser;1565413680.0;1.0
mineralwasser;1565424480.0;1.0
mineralwasser;1565435280.0;1.0
mineralwasser;1565446080.0;1.0
mineralwasser;1565456880.0;1.0
mineralwasser;1565467680.0;1.0
mineralwasser;1565478480.0;1.0
mineralwasser;1565489280.0;1.0
mineralwasser;1565500080.0;1.0
mineralwasser;1565510880.0;1.0
mineralwasser;1565521680.0;1.0
mineralwasser;1565532480.0;1.0
mineralwasser;1565543280.0;1.0
mineralwasser;1565554080.0;1.0
mineralwasser;1565564880.0;1.0
mineralwasser;1565575680.0;1.0
mineralwasser;1565586480.0;1.0
mineralwasser;1565597280.0;1.0
mineralwasser;1565608080.0;1.0
mineralwasser;1565618880.0;1.0
mineralwasser;1565629680.0;1.0
mineralwasser;1565640480.0;1.0
mineralwasser;1565651280.0;1.0
mineralwasser;1565662080.0;1.0
mineralwasser;1565672880.0;1.0
mineralwasser;1565683680.0;1.0
mineralwasser;1565694480.0;1.0
mineralwasser;1565705280.0;1.0
mineralwasser;1565716080.0;1.0
mineralwasser;1565726880.0;1.0
mineralwasser;1565737680.0;1.0
mineralwasser;1565748480.0;1.0
mineralwasser;1565759280.0;1.0
mineralwasser;1565770080.0;1.0
mineralwasser;1565780880.0;1.0
mineralwasser;1565791680.0;1.0
mineralwasser;1565802480.0;1.0
mineralwasser;1565813280.0;1.0
mineralwasser;1565824080.0;1.0
mineralwasser;1565834880.0;1.0
mineralwasser;1565845680.0;1.0
mineralwasser;1565856480.0;1.0
mineralwasser;1565867280.0;1.0
mineralwasser;1565878080.0;1.0
mineralwasser;1565888880.0;1.0
mineralwasser;1565899680.0;1.0
mineralwasser;1565910480.0;1.0
mineralwasser;1565921280.0;1.0
mineralwasser;1565932080.0;1.0
mineralwasser;1565942880.0;1.0
mineralwasser;1565953680.0;1.0
mineralwasser;1565964480.0;1.0
mineralwasser;1565975280.0;1.0
mineralwasser;1565986080.0;1.0
mineralwasser;1565996880.0;1.0
mineralwasser;1566007680.0;1.0
mineralwasser;1566018480.0;1.0
mineralwasser;1566029280.0;1.0
mineralwasser;1566040080.0;1.0
mineralwasser;1566050880.0;1.0
mineralwasser;1566061680.0;1.0
mineralwasser;1566072480.0;1.0
mineralwasser;1566083280.0;1.0
mineralwasser;1566094080.0;1.0
mineralwasser;1566104880.0;1.0
mineralwasser;1566115680.0;1.0
mineralwasser;1566126480.0;1.0
mineralwasser;1566137280.0;1.0
mineralwasser;1566148080.0;1.0
mineralwasser;1566158880.0;1.0
mineralwasser;1566169680.0;1.0
mineralwasser;1566180480.0;1.0
mineralwasser;1566191280.0;1.0
mineralwasser;1566202080.0;1.0
mineralwasser;1566212880.0;1.0
mineralwasser;1566223680.0;1.0
mineralwasser;1566234480.0;1.0
mineralwasser;1566245280.0;1.0
mineralwasser;1566256080.0;1.0
mineralwasser;1566266880.0;1.0
mineralwasser;1566277680.0;1.0
mineralwasser;1566288480.0;1.0
mineralwasser;1566299280.0;1.0
mineralwasser;1566310080.0;1.0
mineralwasser;1566320880.0;1.0
mineralwasser;1566331680.0;1.0
mineralwasser;1566342480.0;1.0
mineralwasser;1566353280.0;1.0
mineralwasser;1566364080.0;1.0
mineralwasser;1566374880.0;1.0
mineralwasser;1566385680.0;1.0
mineralwasser;1566396480.0;1.0
mineralwasser;1566407280.0;1.0
mineralwasser;1566418080.0;1.0
mineralwasser;1566428880.0;1.0
mineralwasser;1566439680.0;1.0
mineralwasser;1566450480.0;1.0
mineralwasser;1566461280.0;1.0
mineralwasser;1566472080.0;1.0
mineralwasser;1566482880.0;1.0
